iter	RMSEWithUncertainty
0	3.120697626
1	3.066581524
2	3.024190528
3	2.986939781
4	2.941303392
5	2.89523852
6	2.851134929
7	2.79038355
8	2.750115022
9	2.716984114
10	2.684318911
11	2.650916512
12	2.622883692
13	2.591985258
14	2.561952442
15	2.524140782
16	2.492688018
17	2.461427489
18	2.432847116
19	2.40287102
20	2.375778773
21	2.346306282
22	2.318433016
23	2.291583538
24	2.264399917
25	2.238292264
26	2.211962273
27	2.185381179
28	2.15988511
29	2.13088358
30	2.104715506
31	2.077774178
32	2.049438078
33	2.023411953
34	1.997888364
35	1.973341926
36	1.947461113
37	1.921231053
38	1.894761461
39	1.868585389
40	1.843354246
41	1.818508513
42	1.793530211
43	1.767694676
44	1.743590559
45	1.719778645
46	1.695259263
47	1.671138909
48	1.647082914
49	1.623468118
50	1.600593772
51	1.577975286
52	1.555727787
53	1.534629823
54	1.51234498
55	1.490818527
56	1.469782267
57	1.447543044
58	1.426766072
59	1.405032837
60	1.384217632
61	1.36338094
62	1.342023157
63	1.322012697
64	1.300002355
65	1.278907571
66	1.260723792
67	1.240793993
68	1.222385239
69	1.201154234
70	1.18119098
71	1.162454089
72	1.140589305
73	1.122165587
74	1.10149376
75	1.082563088
76	1.062992421
77	1.044670117
78	1.027769191
79	1.01176502
80	0.9932567422
81	0.973719604
82	0.9593063169
83	0.9410569985
84	0.9246605974
85	0.9071674017
86	0.8900994845
87	0.8734812361
88	0.859415154
89	0.8429611752
90	0.8266047121
91	0.8109113903
92	0.7965531582
93	0.7812006793
94	0.7661988555
95	0.7517634282
96	0.7381280059
97	0.7246998235
98	0.7110124497
99	0.6971381902
100	0.6848602648
101	0.6718750982
102	0.6610423806
103	0.6490374604
104	0.6365430306
105	0.624830178
106	0.6139755233
107	0.6018681422
108	0.5923338214
109	0.5817008949
110	0.5713166577
111	0.5609994988
112	0.5510861242
113	0.5422394634
114	0.5332388672
115	0.5243083869
116	0.5161120555
117	0.5100102971
118	0.5016414628
119	0.4941796057
